A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-69.07949467067128,-68.47949467067127,-68.87949467067128,0.019285028147976845,0.018211421293206513,0.008773613007273525,-206.43848401201384,1.0,1.0,1.0,-61.144649505615234,-61.4715518951416,-61.081098556518555,0.520211398601532,0.4932490289211273,0.4582075774669647,-1.3097423315048218,-1.3078778982162476,-1.3401516675949097,-31.029104232788086,-30.91712760925293,-30.441532135009766,110,2775
-67.59290800234636,-68.89290800234636,-68.99290800234635,0.008786463058553635,0.014867847736459225,0.01889505256153643,-205.4787240070391,1.0,1.0,1.0,-63.30311584472656,-63.95315742492676,-63.3928279876709,0.4441983997821808,0.48777490854263306,0.4302051067352295,-1.2963025569915771,-1.2869231700897217,-1.353223204612732,-32.33565139770508,-32.078651428222656,-31.1116943359375,115,2900
-67.25149056822205,-67.85149056822205,-67.65149056822204,0.018934176493843553,0.01289921098574996,0.015130209037568421,-202.75447170466614,1.0,1.0,1.0,-65.00736999511719,-63.813058853149414,-64.73945999145508,0.49397382140159607,0.4706222712993622,0.4605202078819275,-1.2885706424713135,-1.3381997346878052,-1.3630460500717163,-33.035213470458984,-32.137367248535156,-32.187557220458984,120,3025
-76.60054373017641,-76.00054373017642,-76.1005437301764,0.021836337853223087,0.014074370708956849,0.014719751892145723,-228.7016311905292,1.0,1.0,1.0,-65.99955368041992,-66.35835266113281,-67.22151947021484,0.49072903394699097,0.45095062255859375,0.4899449050426483,-1.2898337841033936,-1.2954018115997314,-1.3481321334838867,-33.61912536621094,-33.26395034790039,-33.28935241699219,125,3150
-63.87141650900746,-63.97141650900746,-64.47141650900747,0.011660811571404337,0.017352581712417305,0.009982916625682264,-192.31424952702238,1.0,1.0,1.0,-67.46368026733398,-67.3621597290039,-67.72834777832031,0.5649487972259521,0.48494479060173035,0.4677181541919708,-1.3245638608932495,-1.3097753524780273,-1.3291161060333252,-34.094154357910156,-33.89757537841797,-33.71179962158203,130,3275
-77.41051956316427,-79.01051956316427,-77.51051956316427,0.012757963737705722,0.015471766809467226,0.012336658316664398,-233.9315586894928,1.0,1.0,1.0,-69.0968132019043,-69.2436637878418,-70.39397430419922,0.4719873368740082,0.4359990060329437,0.3862316608428955,-1.317665696144104,-1.2875471115112305,-1.3333423137664795,-35.15452194213867,-34.5926399230957,-35.03860092163086,135,3400
-63.709105276620974,-63.709105276620974,-63.40910527662097,0.016948105006013067,0.011774227686808445,0.011947175471112133,-190.82731582986293,1.0,1.0,1.0,-71.08150482177734,-70.71903991699219,-71.47128295898438,0.36919790506362915,0.49353480339050293,0.4731917679309845,-1.3081318140029907,-1.3048807382583618,-1.3420995473861694,-36.116703033447266,-35.52034378051758,-35.324493408203125,140,3525
-68.60848176830498,-68.80848176830497,-67.70848176830498,0.01494170751492493,0.008568143315846101,0.010371640334255063,-205.12544530491496,1.0,1.0,1.0,-73.35113906860352,-72.0252914428711,-72.64551544189453,0.5042394399642944,0.4475361406803131,0.4072205722332001,-1.3024336099624634,-1.3140888214111328,-1.3087152242660522,-37.11068344116211,-36.250099182128906,-36.12103271484375,145,3650
-69.00379270055608,-68.10379270055607,-69.00379270055608,0.008471101885079406,0.008953701250255108,0.009413005710579455,-206.1113781016682,1.0,1.0,1.0,-73.69385147094727,-73.1337890625,-74.48747634887695,0.54066002368927,0.45819878578186035,0.4552674889564514,-1.2949038743972778,-1.2829025983810425,-1.3263347148895264,-37.63203048706055,-36.56524658203125,-36.78913116455078,150,3775
-67.1342791296184,-67.5342791296184,-67.5342791296184,0.009782212001038714,0.006688265049364418,0.006197296261088923,-202.20283738885522,1.0,1.0,1.0,-74.38489151000977,-74.60887908935547,-74.38219451904297,0.4655410647392273,0.5553336143493652,0.4535398781299591,-1.325679063796997,-1.3395923376083374,-1.3127987384796143,-37.79457473754883,-37.26720428466797,-36.922271728515625,155,3900
