B1 Loss,B2 Loss,P1 Loss,P2 Loss,Play 1,Play 2,Return,total_numsteps
-1.6703810691833496,-0.9058963060379028,0.011030702851712704,0.07632988691329956,-1.7338154,-3.3188508,-1.1994866,1330
-1.9787342548370361,-0.8814439177513123,0.03251838684082031,0.09422452747821808,-2.0519142,-3.9177928,-0.87665623,1340
-1.9356571435928345,-0.9496457576751709,0.04441166669130325,0.07795920968055725,-1.849071,-4.049341,-0.96285385,1350
-1.468581199645996,-1.0318719148635864,0.04500367492437363,0.041415296494960785,-1.1745152,-4.369074,-1.3362135,1360
-1.9621983766555786,-0.9650634527206421,0.03761477395892143,0.09068810939788818,-2.252873,-4.5137634,-0.6918341,1370
-1.727866768836975,-0.9192962646484375,0.013626120053231716,0.04242466017603874,-1.2281475,-3.2150264,-1.5478224,1380
-1.7808451652526855,-1.0294313430786133,0.02548767440021038,0.07073334604501724,-1.6556288,-3.5379755,-1.1842076,1390
-1.2998037338256836,-0.887751042842865,0.026986991986632347,0.1271129697561264,-2.5784569,-4.072297,-0.5977337,1400
-1.0751302242279053,-1.1338059902191162,0.018633360043168068,0.05893070995807648,-1.5106128,-3.8469377,-1.2004777,1410
-1.6408504247665405,-0.9809861183166504,0.013546671718358994,0.06829369813203812,-1.6499927,-3.5809753,-1.1765493,1420
-1.4993120431900024,-0.9817513227462769,0.026226192712783813,0.06701847910881042,-1.9159243,-4.039355,-0.927499,1430
-1.4224750995635986,-0.9304614663124084,0.025447942316532135,0.08181402832269669,-2.0857081,-3.8212144,-0.87845623,1440
-1.4366286993026733,-0.9454874992370605,0.0034589520655572414,0.03136708587408066,-0.9407823,-3.3523211,-1.705964,1450
-1.8399121761322021,-0.9155234098434448,0.02494153194129467,0.1291637122631073,-2.6261945,-4.3120565,-0.54295284,1460
-1.7020028829574585,-1.0176414251327515,0.035491835325956345,0.06510747969150543,-1.5763837,-4.2228255,-1.0955688,1470
-1.9738452434539795,-0.9195609092712402,0.034390199929475784,0.14585694670677185,-2.4562101,-3.8327801,-0.6962906,1480
-1.8707168102264404,-0.9991960525512695,0.05015335977077484,0.07552493363618851,-1.7981182,-4.005999,-0.9991188,1490
-1.3116775751113892,-1.1422216892242432,0.012735777534544468,0.07298078387975693,-2.5235832,-3.1182618,-0.8598738,1500
-1.5770483016967773,-1.0553566217422485,0.020783716812729836,0.06858975440263748,-2.2952201,-3.771347,-0.78448194,1510
-1.4668422937393188,-0.9192492365837097,0.02757003903388977,0.07960041612386703,-2.055462,-3.760498,-0.9072596,1520
-1.6885963678359985,-1.03388249874115,0.018884113058447838,0.07757200300693512,-2.0753179,-3.449783,-0.97395,1530
-1.5164912939071655,-0.9256091713905334,0.0009218371706083417,0.08956271409988403,-2.2412214,-2.5860312,-1.1944983,1540
-1.332946538925171,-1.0047951936721802,0.01416401844471693,0.06296117603778839,-1.9964471,-4.210435,-0.8573106,1550
-2.1341333389282227,-0.8974242210388184,0.002982859034091234,0.0480833537876606,-1.6678,-2.5997953,-1.4990702,1560
-1.489633321762085,-0.9368268251419067,0.007994565181434155,0.04038369655609131,-1.567476,-3.5710387,-1.2288135,1570
-1.905806303024292,-0.8973662257194519,0.024641426280140877,0.05276477336883545,-1.7806004,-3.8352191,-1.0418886,1580
-1.5003536939620972,-0.916346549987793,0.02337493561208248,0.07121342420578003,-1.7592747,-3.5363703,-1.1239567,1590
-1.335832118988037,-0.9726268649101257,0.08156595379114151,0.10269321501255035,-2.3327923,-4.8796167,-0.6336435,1600
-1.3803777694702148,-0.9404032230377197,0.007269598543643951,0.03418833389878273,-1.6422606,-3.1910157,-1.2930523,1610
-1.2872687578201294,-0.89415043592453,0.0173213928937912,0.046798188239336014,-2.242656,-3.6802433,-0.8306403,1620
-1.757993221282959,-0.9067227840423584,0.03499305248260498,0.05816422775387764,-2.3260903,-3.8677003,-0.7495019,1630
-2.492595911026001,-0.9451237916946411,0.04264499247074127,0.019413812085986137,-0.80071336,-3.7618942,-1.7037257,1640
-1.583288550376892,-0.8480114936828613,0.05623689293861389,0.08302951604127884,-2.04321,-3.977821,-0.8699962,1650
-1.331982135772705,-0.9714208841323853,0.06469792872667313,0.10873879492282867,-2.5072255,-4.3832726,-0.586158,1660
-1.4060875177383423,-0.7697140574455261,0.021906312555074692,0.09398830682039261,-2.4623926,-3.8478613,-0.69038886,1670
-1.8096073865890503,-0.8715400695800781,0.004186106380075216,0.027523722499608994,-1.0583998,-3.1704712,-1.6785233,1680
-1.454005479812622,-0.8787415027618408,0.04111086577177048,0.033986642956733704,-1.1249722,-4.254827,-1.3840998,1690
-1.2822175025939941,-0.9767088890075684,0.06907331943511963,0.06244618818163872,-1.8636638,-4.5638413,-0.89127463,1700
-1.5004762411117554,-0.91889488697052,0.012762145139276981,0.049079444259405136,-1.5920044,-3.2495902,-1.3047441,1710
-1.5006918907165527,-0.8019856214523315,0.008248141966760159,0.1090724989771843,-2.744287,-2.932962,-0.8320789,1720
-1.5054820775985718,-0.9099922776222229,0.014096644707024097,0.03993496298789978,-1.834888,-3.3907592,-1.1206747,1730
-1.8203788995742798,-0.8979172706604004,0.019942643120884895,0.05315277725458145,-2.234283,-3.4733706,-0.8870924,1740
-1.9222228527069092,-0.9680472612380981,0.026991471648216248,0.03057374805212021,-1.6373906,-3.6566992,-1.1654754,1750
-1.6267855167388916,-0.8593735098838806,0.029052801430225372,0.06112423166632652,-2.0936534,-3.9807787,-0.84317,1760
-1.7274515628814697,-0.9503755569458008,0.046492986381053925,0.028176335617899895,-1.3575511,-4.461513,-1.2051023,1770
-1.9248303174972534,-0.8768763542175293,0.019525915384292603,0.041983362287282944,-1.7571359,-4.026398,-1.0190282,1780
-1.3796155452728271,-0.9272593855857849,0.00396930705755949,0.08669858425855637,-2.224682,-3.2524,-0.956133,1790
-1.2626054286956787,-0.9212970733642578,0.03752227500081062,0.05665669962763786,-1.4695327,-4.3324723,-1.1475371,1800
-1.4982906579971313,-0.9910404086112976,0.017393356189131737,0.058176059275865555,-2.08614,-3.5844688,-0.9328275,1810
-1.7526259422302246,-0.9103749394416809,0.013018771074712276,0.029800457879900932,-1.465991,-3.634473,-1.2759007,1820
-1.4125642776489258,-0.9301896691322327,0.0209246426820755,0.05137942358851433,-1.8032157,-3.895846,-1.0167632,1830
-1.3383418321609497,-0.9163961410522461,0.04489492252469063,0.06687504053115845,-1.7613281,-4.183715,-0.9915838,1840
-1.5707604885101318,-0.9043304324150085,0.04006078466773033,0.06808474659919739,-1.6921681,-4.384053,-1.0063237,1850
-1.400741696357727,-0.9336681365966797,0.021470535546541214,0.0638260543346405,-1.8922594,-4.1912932,-0.9166275,1860
-1.984566569328308,-1.0017955303192139,0.0038866386748850346,0.041671864688396454,-1.6696968,-3.4304895,-1.2048253,1870
-1.8801255226135254,-0.9146050214767456,5.568670530919917e-05,0.05990288779139519,-2.022277,-3.0151474,-1.1383532,1880
-1.6864914894104004,-0.9338098168373108,0.016137298196554184,0.07864668220281601,-2.322997,-3.6951017,-0.7883648,1890
-1.4357620477676392,-0.9235703945159912,0.0068134404718875885,0.030086740851402283,-1.3939877,-3.1606743,-1.4565728,1900
-1.3788714408874512,-1.0411434173583984,0.055026013404130936,0.06723376363515854,-2.0383224,-4.589325,-0.7946834,1910
-1.4181121587753296,-0.8593589067459106,0.014862259849905968,0.07446207106113434,-1.7014079,-3.993863,-1.0571575,1920
-1.2937495708465576,-0.8551299571990967,0.007759483531117439,0.0673976019024849,-1.9699893,-2.2267168,-1.499739,1930
-1.4579761028289795,-0.970223069190979,0.027067486196756363,0.028300128877162933,-1.6564399,-4.7125406,-1.0010691,1940
-1.8203463554382324,-0.8882014751434326,0.02008378878235817,0.04997440427541733,-1.9403417,-3.9371111,-0.93255484,1950
-1.692561149597168,-0.8659597635269165,0.017089741304516792,0.05015930160880089,-1.6582286,-3.0635068,-1.3259948,1960
