A1 Return,A2 Return,A3 Return,Total Return,total_episode,total_numsteps
-65.90299909823477,-67.00299909823477,-67.00299909823477,-199.9089972947043,770,19275
-71.92210378511773,-70.82210378511772,-71.92210378511773,-214.66631135535317,780,19525
-74.09504965928818,-73.49504965928818,-73.79504965928818,-221.38514897786453,790,19775
-76.55204043614808,-76.55204043614808,-76.25204043614808,-229.35612130844424,800,20025
-77.62251208806427,-77.92251208806428,-77.02251208806427,-232.56753626419282,810,20275
-69.88604015248833,-69.68604015248835,-69.78604015248834,-209.35812045746502,820,20525
-74.69160953683671,-75.79160953683672,-75.69160953683671,-226.17482861051013,830,20775
-75.05809239865877,-75.05809239865877,-74.95809239865876,-225.07427719597632,840,21025
-81.7406814639534,-82.14068146395338,-82.44068146395338,-246.32204439186017,850,21275
-75.33997905948334,-75.13997905948334,-74.73997905948333,-225.21993717844998,860,21525
-81.51669708440934,-80.41669708440935,-80.71669708440935,-242.65009125322803,870,21775
-77.03720564174566,-77.03720564174566,-77.13720564174567,-231.21161692523702,880,22025
-73.52835996970374,-73.32835996970374,-73.22835996970375,-220.08507990911122,890,22275
-78.3837180656165,-78.28371806561651,-77.78371806561651,-234.45115419684953,900,22525
-76.32171078794859,-76.02171078794859,-76.12171078794859,-228.46513236384575,910,22775
-85.14748309877497,-85.34748309877497,-85.34748309877497,-255.8424492963249,920,23025
-81.87232178879084,-81.07232178879084,-81.77232178879083,-244.7169653663725,930,23275
-72.12830036638124,-72.22830036638125,-71.92830036638125,-216.28490109914372,940,23525
-72.59930620809432,-72.49930620809432,-71.39930620809433,-216.49791862428296,950,23775
-64.85553384191432,-64.75553384191433,-65.15553384191432,-194.76660152574297,960,24025
-72.72593866391597,-72.72593866391597,-72.52593866391597,-217.97781599174786,970,24275
-77.21088461327128,-77.11088461327128,-77.21088461327128,-231.53265383981383,980,24525
-86.9632522908943,-87.06325229089431,-86.56325229089431,-260.5897568726829,990,24775
-86.2914284712223,-86.49142847122229,-85.7914284712223,-258.57428541366687,1000,25025
-75.11298946946017,-74.61298946946017,-75.11298946946017,-224.8389684083805,1010,25275
-76.04666052466204,-76.14666052466205,-76.24666052466205,-228.43998157398613,1020,25525
-83.86054454478469,-83.9605445447847,-84.06054454478469,-251.88163363435405,1030,25775
-79.12971465642978,-78.92971465642978,-79.12971465642978,-237.18914396928935,1040,26025
-76.67934064602233,-76.77934064602233,-76.67934064602233,-230.138021938067,1050,26275
-84.74169264819147,-84.74169264819147,-84.54169264819147,-254.02507794457443,1060,26525
-78.12944263663042,-77.92944263663041,-78.12944263663042,-234.18832790989126,1070,26775
-83.23422073012374,-83.23422073012374,-83.13422073012374,-249.6026621903712,1080,27025
-74.4402220665872,-74.1402220665872,-74.84022206658719,-223.42066619976157,1090,27275
-69.86651233087093,-70.26651233087094,-69.66651233087093,-209.7995369926128,1100,27525
-68.80317986840825,-68.10317986840826,-68.80317986840825,-205.70953960522473,1110,27775
-74.06055903755704,-74.06055903755704,-73.76055903755704,-221.8816771126711,1120,28025
-74.73627188651915,-75.03627188651915,-74.93627188651915,-224.70881565955742,1130,28275
-76.61096564883721,-76.8109656488372,-76.61096564883721,-230.0328969465116,1140,28525
-77.06743003640942,-76.96743003640941,-76.66743003640941,-230.70229010922827,1150,28775
-72.74614093296978,-72.94614093296977,-72.74614093296978,-218.43842279890933,1160,29025
-80.61134195544547,-81.61134195544547,-80.31134195544547,-242.53402586633644,1170,29275
-84.36689804804317,-85.76689804804317,-85.76689804804317,-255.90069414412952,1180,29525
-78.45885823459605,-78.25885823459605,-78.45885823459605,-235.17657470378816,1190,29775
-79.78004168781017,-79.78004168781017,-79.58004168781017,-239.1401250634305,1200,30025
-91.55280395092855,-90.95280395092854,-91.65280395092854,-274.15841185278566,1210,30275
-81.45815461499869,-81.1581546149987,-81.0581546149987,-243.67446384499607,1220,30525
-78.13561930578793,-78.43561930578792,-78.03561930578793,-234.60685791736378,1230,30775
-76.5032825583373,-76.5032825583373,-76.0032825583373,-229.0098476750119,1240,31025
-76.24733659681257,-76.04733659681258,-76.24733659681257,-228.5420097904377,1250,31275
-79.23533891490112,-79.23533891490112,-78.83533891490113,-237.30601674470336,1260,31525
-73.29137017476707,-72.59137017476706,-72.09137017476706,-217.9741105243012,1270,31775
-72.73697724677669,-72.53697724677669,-71.1369772467767,-216.41093174033008,1280,32025
-64.005876275605,-64.005876275605,-63.40587627560501,-191.41762882681502,1290,32275
-75.98123931487483,-74.68123931487483,-76.08123931487482,-226.7437179446245,1300,32525
-70.78733842284575,-72.48733842284574,-72.58733842284573,-215.8620152685372,1310,32775
-82.61991627597118,-82.81991627597117,-81.61991627597118,-247.05974882791352,1320,33025
-68.54447758013926,-69.24447758013926,-69.54447758013926,-207.33343274041778,1330,33275
-72.23355689073637,-71.53355689073636,-71.73355689073637,-215.50067067220908,1340,33525
-67.46728336521089,-67.3672833652109,-66.5672833652109,-201.40185009563268,1350,33775
-67.26888718695383,-67.56888718695383,-67.56888718695383,-202.4066615608615,1360,34025
-77.27553775963912,-77.27553775963912,-77.77553775963912,-232.32661327891736,1370,34275
-71.35213714636583,-69.75213714636583,-70.95213714636583,-212.05641143909747,1380,34525
-75.1887806253823,-76.08878062538228,-75.88878062538228,-227.16634187614687,1390,34775
-78.82221824145259,-79.32221824145259,-79.32221824145259,-237.46665472435774,1400,35025
-76.03485138506092,-75.83485138506092,-75.83485138506092,-227.70455415518273,1410,35275
-70.25567369906189,-70.25567369906189,-69.75567369906189,-210.26702109718568,1420,35525
-71.99626402619245,-71.79626402619245,-71.49626402619245,-215.28879207857736,1430,35775
-71.75516867784577,-71.85516867784578,-72.45516867784578,-216.06550603353736,1440,36025
-67.56033572592474,-65.66033572592474,-67.16033572592474,-200.38100717777425,1450,36275
-72.62099171726517,-72.62099171726517,-73.02099171726516,-218.2629751517955,1460,36525
-65.35500215265324,-64.65500215265324,-65.55500215265324,-195.56500645795973,1470,36775
-73.33125989814883,-72.83125989814883,-73.33125989814883,-219.4937796944465,1480,37025
-73.13194385662014,-72.43194385662014,-71.93194385662014,-217.4958315698604,1490,37275
-69.00537943597266,-68.70537943597266,-68.90537943597266,-206.616138307918,1500,37525
-67.90652388388624,-67.30652388388623,-67.20652388388623,-202.4195716516587,1510,37775
-75.87854032692124,-75.47854032692125,-76.57854032692124,-227.93562098076373,1520,38025
-79.80415501037866,-80.10415501037866,-79.90415501037867,-239.81246503113599,1530,38275
-71.05283818227107,-71.05283818227107,-71.85283818227107,-213.9585145468132,1540,38525
-74.14617765392373,-74.14617765392373,-73.34617765392372,-221.63853296177118,1550,38775
-71.44141159796442,-72.34141159796442,-71.84141159796442,-215.62423479389327,1560,39025
-67.31090166629176,-67.21090166629175,-66.41090166629175,-200.93270499887527,1570,39275
-70.19411493819504,-70.39411493819503,-70.09411493819505,-210.68234481458512,1580,39525
-64.40595091283524,-64.80595091283524,-64.70595091283523,-193.9178527385057,1590,39775
-74.3439574936848,-74.3439574936848,-74.0439574936848,-222.7318724810544,1600,40025
-69.79794177752277,-69.99794177752275,-69.29794177752277,-209.09382533256831,1610,40275
-73.07253331621885,-72.17253331621885,-72.77253331621884,-218.0175999486565,1620,40525
-71.8004435791137,-72.70044357911371,-72.5004435791137,-217.00133073734114,1630,40775
-76.32350239198773,-76.52350239198773,-76.22350239198774,-229.0705071759632,1640,41025
-79.48123425933576,-79.68123425933575,-79.18123425933575,-238.34370277800727,1650,41275
-74.94999182827777,-74.84999182827778,-74.74999182827779,-224.54997548483334,1660,41525
-78.8123704861393,-79.0123704861393,-79.21237048613929,-237.03711145841788,1670,41775
