Play 1,Play 2,Return,total_numsteps
1.4169841,2.6857316,-8.19384,265
1.6068544,2.909206,-5.884857,266
1.9758176,3.218172,-2.320589,267
2.4490364,3.6009536,1.5352535,268
2.6681926,3.994506,3.5516562,269
2.7597773,4.08369,4.141779,270
2.8123374,4.4503765,4.9120464,271
2.8299549,4.3671885,4.8904533,272
2.9397392,4.285429,5.244714,273
3.1123433,4.3972454,6.073439,274
3.1763413,4.267852,6.138228,275
3.1713195,4.1134667,5.8699865,276
3.2321188,4.1718154,6.1887064,277
3.1939945,4.0167065,5.771478,278
3.1032383,3.902616,5.1980433,279
3.1200209,4.0113893,5.488327,280
2.9551396,4.1736403,5.135676,281
2.763888,4.415723,4.658423,282
2.7534282,4.289493,4.4480953,283
2.8305528,4.207081,4.664778,284
2.8853967,3.609502,3.5949683,285
2.9736586,3.2906675,2.9721231,286
3.0073733,2.9855194,1.9713068,287
3.07472,2.8853412,1.8215141,288
3.0646157,2.614048,0.5615206,289
3.0153968,2.747896,0.989378,290
3.0949583,3.3025262,3.489399,291
3.0408359,3.417815,3.6583662,292
2.8504791,3.543556,3.2583308,293
2.8998873,3.1748567,2.2583785,294
2.8903275,3.4358315,3.1026587,295
2.9945781,3.4700634,3.637577,296
3.1832335,3.6367526,4.8409157,297
3.2448623,4.1706448,6.231662,298
3.3290782,3.8274124,5.833059,299
3.408421,3.3790412,4.839369,300
3.319601,3.4915257,4.9007645,301
2.8786755,3.466692,3.1489487,302
2.3896184,3.6526155,1.3704634,303
2.207418,4.2402625,1.6242847,304
2.2833028,4.550311,2.4173365,305
2.2013347,4.7782955,2.11832,306
2.3877707,4.778265,3.1270914,307
2.6063383,5.183975,4.2365365,308
2.6064012,4.954207,4.2685876,309
2.5005124,4.504864,3.507402,310
2.3106937,4.303197,2.2820973,311
1.9970884,4.358223,0.5706444,312
1.8371861,4.287966,-0.51038456,313
1.9254305,4.230971,-0.04438305,314
2.1634524,4.3893013,1.5810452,315
2.370296,4.3940563,2.7174888,316
2.5174246,3.881442,2.5856476,317
2.650176,3.5392282,2.344473,318
2.9744334,3.2132075,2.7044525,319
2.7671604,3.1165574,1.4670715,320
2.7110333,3.3567681,2.0604205,321
2.81774,4.0864935,4.403247,322
2.8699026,4.3223853,5.0035233,323
3.0285058,4.487809,5.850871,324
3.1198194,4.8709407,6.4482646,325
2.9841652,4.992977,5.936361,326
3.122218,5.0836926,6.46693,327
3.2997684,4.801209,7.0696945,328
3.4223042,4.6554365,7.392152,329
3.5138116,4.591785,7.624604,330
3.4120421,4.6322384,7.343141,331
3.4714622,4.6731052,7.556712,332
3.3533444,4.791439,7.245028,333
3.1977959,5.229673,6.6993103,334
3.158271,5.4555426,6.4005156,335
